sample,taxa,percentage
SRR21770701,eukaryota,0.3620607537101743
SRR21770702,eukaryota,0.13864615801715402
SRR21770704,eukaryota,0.1676686059492866
SRR21770705,eukaryota,0.07035342591604452
SRR21770706,eukaryota,0.16999992444447803
SRR21770707,eukaryota,0.21732551726157645
SRR21770708,eukaryota,
SRR21770709,eukaryota,0.1835584109086141
SRR21770710,eukaryota,0.22080217385333922
SRR21770711,eukaryota,0.22067999657139703
SRR21770712,eukaryota,0.23661013507703818
SRR21770713,eukaryota,0.5259005755271339
SRR21770714,eukaryota,0.12845468870070453
SRR21770716,eukaryota,3.46680941146835
SRR21770717,eukaryota,0.016651796225386317
SRR21770718,eukaryota,1.080147856783132
SRR21770719,eukaryota,0.12165849455306403
SRR21770720,eukaryota,0.21650107411385608
SRR21770721,eukaryota,0.023438111759437847
SRR21770722,eukaryota,0.03491530024914661
SRR21770723,eukaryota,0.013354623312527219
SRR21770724,eukaryota,0.2011497966765636
SRR21770725,eukaryota,0.08183076450629846
SRR21770626,viruses,0.15426244078306625
SRR21770627,viruses,0.010415647458739833
SRR21770629,viruses,0.03300959701036017
SRR21770630,viruses,0.017905073159529876
SRR21770631,viruses,0.007363073136353595
SRR21770632,viruses,0.027045136509566838
SRR21770633,viruses,0.0385992259410506
SRR21770634,viruses,0.03078616789790815
SRR21770635,viruses,0.004705400250875264
SRR21770636,viruses,0.2372503623261294
SRR21770637,viruses,0.004173559700107535
SRR21770638,viruses,0.013996307128196179
SRR21770639,viruses,0.016045145560777838
SRR21770640,viruses,0.07796925569552411
SRR21770641,viruses,8.287450210553031e-05
SRR21770642,viruses,0.10262160184718884
SRR21770643,viruses,0.02609401869021828
SRR21770644,viruses,0.05491369123233394
SRR21770645,viruses,0.03562526860001722
SRR21770646,viruses,0.02976809238503846
SRR21770647,viruses,0.020295317847586362
SRR21770648,viruses,0.03641867515028791
SRR21770649,viruses,0.03828900317632253
SRR21770650,viruses,0.016114333977906695
SRR21770651,viruses,0.03319024226007376
SRR21770652,viruses,0.014982671680539966
SRR21770653,viruses,0.15037583408298524
SRR21770654,viruses,4.3877700562775394e-05
SRR21770655,viruses,0.01767633945845278
SRR21770656,viruses,0.01458860143940868
SRR21770657,viruses,0.03874246516026846
SRR21770658,viruses,0.053453442650987844
SRR21770659,viruses,0.00603313182163924
SRR21770660,viruses,0.022027051997344407
SRR21770661,viruses,0.017223143124731406
SRR21770662,viruses,0.006841783750763591
SRR21770663,viruses,0.016380640677671972
SRR21770664,viruses,0.012210334563167032
SRR21770666,viruses,0.016711346307836925
SRR21770667,viruses,0.0068933881997685405
SRR21770668,viruses,0.08169866298604431
SRR21770669,viruses,0.013719571401707095
SRR21770670,viruses,0.035835871707579285
SRR21770671,viruses,0.00657488336801066
SRR21770672,viruses,0.005212964251120218
SRR21770673,viruses,0.031306345218767746
SRR21770674,viruses,0.06888429523943888
SRR21770684,viruses,0.032729888638826816
SRR21770685,viruses,0.0010766031104786427
SRR21770686,viruses,0.019652486974680305
SRR21770687,viruses,0.024135016031653137
SRR21770688,viruses,0.02164306970872035
SRR21770689,viruses,0.0010046807658262863
SRR21770690,viruses,0.0010040470442569244
SRR21770691,viruses,
SRR21770692,viruses,0.006529092518986739
SRR21770693,viruses,0.04982483958399803
